Fecha;Unidad;Tipo;Categoria;Descripcion;Detalle;Area;Medio;Monto;Estado
2026-07-01;CALLAO;EGRESO;GERENCIA;GERENCIA1;RETIRO DE RECAUDACIÓN;NEGOCIO;E;-600000;CLASIFICADO
2026-07-01;V. OBLIGADO;EGRESO;GERENCIA;GERENCIA6;RETIROS MERCADERIA ROBERTO;NEGOCIO;E;-151828,83;CLASIFICADO
2026-07-01;CALLAO;EGRESO;GERENCIA;GERENCIA2;MOVIMIENTOS DE BANCO;NEGOCIO;T;-600000;CLASIFICADO
2026-07-01;CALLAO;EGRESO;IMPUESTOS;DBCR 25413;;NEGOCIO;T;-213270,66;CLASIFICADO
2026-07-01;CALLAO;INGRESO;VENTA DIARIA;R3;COBRANZA REPARTO 3;DEPOSITO/LOG;E/T;1388138,45;CLASIFICADO
2026-07-01;CALLAO;EGRESO;GERENCIA;GERENCIA5;GASTOS VARIOS GERENCIA;NEGOCIO;E;-6000;CLASIFICADO
2026-07-01;CALLAO;INGRESO;VENTA DIARIA;V24;COBRANZA V24;VENTAS;E/T;373831,78;CLASIFICADO
2026-07-01;CALLAO;INGRESO;VENTA DIARIA;V28;COBRANZA V28;VENTAS;E/T;2278025,14;CLASIFICADO
2026-07-01;CALLAO;INGRESO;VENTA DIARIA;V29;COBRANZA V29;VENTAS;E/T;136798,81;CLASIFICADO
2026-07-01;CALLAO;INGRESO;VENTA DIARIA;V30;COBRANZA V30;VENTAS;E/T/ECHEQ;1842389,43;CLASIFICADO
2026-07-01;CALLAO;INGRESO;VENTA DIARIA;R1;COBRANZA REPARTO 1;DEPOSITO/LOG;E/T;1141329,57;CLASIFICADO
2026-07-01;CALLAO;INGRESO;VENTA DIARIA;R2;COBRANZA REPARTO 2;DEPOSITO/LOG;E/T;2671624,32;CLASIFICADO
2026-07-01;CALLAO;EGRESO;PAGO A PROVEEDORES;PAULINA;LA PAULINA;NEGOCIO;E;-3094000;CLASIFICADO
2026-07-01;CALLAO;EGRESO;MEDIO AGUINALDO;SUELDOS6;AGUINALDO ADMINISTRACION;ADMINISTRACION;E/T;-348138,05;CLASIFICADO
2026-07-01;CALLAO;EGRESO;MEDIO AGUINALDO;SUELDOS6;AGUINALDO ADMINISTRACION;ADMINISTRACION;E/T;-345284,9;CLASIFICADO
2026-07-01;CALLAO;EGRESO;MEDIO AGUINALDO;SUELDOS7;AGUINALDO DEPOSITO;DEPOSITO/LOG;T;-484853,68;CLASIFICADO
2026-07-01;CALLAO;EGRESO;MEDIO AGUINALDO;SUELDOS7;AGUINALDO DEPOSITO;DEPOSITO/LOG;E/T;-336283,04;CLASIFICADO
2026-07-01;V. OBLIGADO;EGRESO;MEDIO AGUINALDO;SUELDOS8;AGUILANDO VUELTA OBLIG;DEPOSITO/LOG;E/T;-485945,18;CLASIFICADO
2026-07-01;CALLAO;EGRESO;COMISIONES+PREMIO;SUELDOS9;COMISIONES Y PREMIO VTAS;VENTAS;E/T;-326944,68;CLASIFICADO
2026-07-01;CALLAO;EGRESO;COMISIONES+PREMIO;SUELDOS9;COMISIONES Y PREMIO VTAS;VENTAS;T;-367905,95;CLASIFICADO
2026-07-01;CALLAO;EGRESO;COMISIONES+PREMIO;SUELDOS9;COMISIONES Y PREMIO VTAS;VENTAS;E/T;-348138,05;CLASIFICADO
2026-07-01;CALLAO;EGRESO;COMISIONES+PREMIO;SUELDOS9;COMISIONES Y PREMIO VTAS;VENTAS;E/T;-32513,84;CLASIFICADO
2026-07-01;CALLAO;EGRESO;COMISIONES+PREMIO;SUELDOS9;COMISIONES Y PREMIO VTAS;VENTAS;T;-379773,58;CLASIFICADO
